Date,Price (USD),Volume
Jan 21 2022 01: +0,10.675,76680
Jan 22 2022 01: +0,6.173,70330
Jan 23 2022 01: +0,4.914,62767
Jan 24 2022 01: +0,4.328,52950
Jan 25 2022 01: +0,3.996,51942
Jan 26 2022 01: +0,3.329,52060
Jan 27 2022 01: +0,3.007,53145
Jan 28 2022 01: +0,2.833,58964
Jan 29 2022 01: +0,2.639,62989
Jan 30 2022 01: +0,2.32,62221
Jan 31 2022 01: +0,2.149,57524
Feb 01 2022 01: +0,2.253,52495
Feb 02 2022 01: +0,2.249,53070
Feb 03 2022 01: +0,2.177,52633
Feb 04 2022 01: +0,2.091,56569
Feb 05 2022 01: +0,2.028,59364
Feb 06 2022 01: +0,1.827,59430
Feb 07 2022 01: +0,1.677,57285
Feb 08 2022 01: +0,1.595,53459
Feb 09 2022 01: +0,1.458,54600
Feb 10 2022 01: +0,1.478,53461
Feb 11 2022 01: +0,1.53,57660
Feb 12 2022 01: +0,1.537,61756
Feb 13 2022 01: +0,1.478,58925
Feb 14 2022 01: +0,1.371,49140
Feb 15 2022 01: +0,1.348,51438
Feb 16 2022 01: +0,1.382,52438
Feb 17 2022 01: +0,1.376,50224
Feb 18 2022 01: +0,1.37,57686
Feb 19 2022 01: +0,1.347,61149
Feb 20 2022 01: +0,1.248,59893
Feb 21 2022 01: +0,1.2,56376
Feb 22 2022 01: +0,1.207,58730
Feb 23 2022 01: +0,1.187,58204
Feb 24 2022 01: +0,1.225,53002
Feb 25 2022 01: +0,1.265,58059
Feb 26 2022 01: +0,1.254,66558
Feb 27 2022 01: +0,1.242,62683
Feb 28 2022 01: +0,1.227,56121
Mar 01 2022 01: +0,1.204,57626
Mar 02 2022 01: +0,1.23,56339
Mar 03 2022 01: +0,1.227,56902
Mar 04 2022 01: +0,1.234,59890
Mar 05 2022 01: +0,1.256,69650
Mar 06 2022 01: +0,1.187,68673
Mar 07 2022 01: +0,1.065,68553
Mar 08 2022 01: +0,1.056,71533
Mar 09 2022 01: +0,1.098,60024
Mar 10 2022 01: +0,1.082,61943
Mar 11 2022 01: +0,1.124,68506
Mar 12 2022 01: +0,1.146,76947
Mar 13 2022 01: +0,1.151,73347
Mar 14 2022 01: +0,1.172,57287
Mar 15 2022 01: +0,1.164,57255
Mar 16 2022 01: +0,1.176,57338
Mar 17 2022 01: +0,1.148,58458
Mar 18 2022 01: +0,1.137,63121
Mar 19 2022 01: +0,1.148,72816
Mar 20 2022 01: +0,1.127,68061
Mar 21 2022 01: +0,1.114,60351
Mar 22 2022 01: +0,1.117,57958
Mar 23 2022 01: +0,1.11,57944
Mar 24 2022 01: +0,1.128,58732
Mar 25 2022 01: +0,1.189,63467
Mar 26 2022 01: +0,1.203,65117
Mar 27 2022 01: +0,1.21,67185
Mar 28 2022 01: +0,1.215,55303
Mar 29 2022 01: +0,1.197,56042
Mar 30 2022 01: +0,1.213,51545
Mar 31 2022 01: +0,1.225,54058
Apr 01 2022 01: +0,1.267,60078
Apr 02 2022 01: +0,1.292,68181
Apr 03 2022 01: +0,1.311,66939
Apr 04 2022 01: +0,1.325,55462
Apr 05 2022 01: +0,1.331,51848
Apr 06 2022 01: +0,1.341,49665
Apr 07 2022 01: +0,1.368,50813
Apr 08 2022 01: +0,1.4,56996
Apr 09 2022 01: +0,1.422,62703
Apr 10 2022 01: +0,1.42,62053
Apr 11 2022 01: +0,1.414,55426
Apr 12 2022 01: +0,1.367,52563
Apr 13 2022 01: +0,1.309,51462
Apr 14 2022 01: +0,1.3,55029
Apr 15 2022 01: +0,1.315,59582
Apr 16 2022 01: +0,1.331,62449
Apr 17 2022 01: +0,1.329,58267
Apr 18 2022 01: +0,1.319,53686
Apr 19 2022 01: +0,1.307,53213
Apr 20 2022 01: +0,1.297,51123
Apr 21 2022 01: +0,1.298,54471
Apr 22 2022 01: +0,1.323,59586
Apr 23 2022 01: +0,1.346,62779
Apr 24 2022 01: +0,1.322,59161
Apr 25 2022 01: +0,1.312,53937
Apr 26 2022 01: +0,1.329,53696
Apr 27 2022 01: +0,1.332,55274
Apr 28 2022 01: +0,1.326,53541
Apr 29 2022 01: +0,1.355,60701
Apr 30 2022 01: +0,1.351,61627
May 01 2022 01: +0,1.334,63598
May 02 2022 01: +0,1.313,58577
May 03 2022 01: +0,1.302,55225
May 04 2022 01: +0,1.254,72325
May 05 2022 01: +0,1.233,58606
May 06 2022 01: +0,1.211,62118
May 07 2022 01: +0,1.206,63787
May 08 2022 01: +0,1.184,66450
May 09 2022 01: +0,1.173,56423
May 10 2022 01: +0,1.166,57158
May 11 2022 01: +0,1.159,56839
May 12 2022 01: +0,1.182,57135
May 13 2022 01: +0,1.196,57378
May 14 2022 01: +0,1.181,62507
May 15 2022 01: +0,1.169,64971
May 16 2022 01: +0,1.175,54291
May 17 2022 01: +0,1.164,56266
May 18 2022 01: +0,1.174,58603
May 19 2022 01: +0,1.163,55946
May 20 2022 01: +0,1.153,59992
May 21 2022 01: +0,1.153,68994
May 22 2022 01: +0,1.142,70473
May 23 2022 01: +0,1.123,61343
May 24 2022 01: +0,1.103,64517
May 25 2022 01: +0,1.079,64783
May 26 2022 01: +0,1.083,66628
May 27 2022 01: +0,1.088,65926
May 28 2022 01: +0,1.105,68560
May 29 2022 01: +0,1.088,69205
May 30 2022 01: +0,1.089,63754
May 31 2022 01: +0,1.084,63625
Jun 01 2022 01: +0,1.092,60899
Jun 02 2022 01: +0,1.113,62254
Jun 03 2022 01: +0,1.079,71718
Jun 04 2022 01: +0,1.074,70645
Jun 05 2022 01: +0,1.053,70711
Jun 06 2022 01: +0,1.033,58737
Jun 07 2022 01: +0,0.995,61721
Jun 08 2022 01: +0,0.965,61312
Jun 09 2022 01: +0,0.946,64706
Jun 10 2022 01: +0,0.969,63994
Jun 11 2022 01: +0,0.975,64359
Jun 12 2022 01: +0,0.966,63423
Jun 13 2022 01: +0,0.908,60910
Jun 14 2022 01: +0,0.843,59340
Jun 15 2022 01: +0,0.827,62715
Jun 16 2022 01: +0,0.82,64717
Jun 17 2022 01: +0,0.821,63432
Jun 18 2022 01: +0,0.832,67015
Jun 19 2022 01: +0,0.832,65912
Jun 20 2022 01: +0,0.815,61480
Jun 21 2022 01: +0,0.783,58181
Jun 22 2022 01: +0,0.758,62336
Jun 23 2022 01: +0,0.764,58953
Jun 24 2022 01: +0,0.762,62188
Jun 25 2022 01: +0,0.781,67480
Jun 26 2022 01: +0,0.777,65893
Jun 27 2022 01: +0,0.766,60648
Jun 28 2022 01: +0,0.758,61817
Jun 29 2022 01: +0,0.792,62448
Jun 30 2022 01: +0,0.832,62953
Jul 01 2022 01: +0,0.884,71615
Jul 02 2022 01: +0,0.881,88171
Jul 03 2022 01: +0,0.836,73363
Jul 04 2022 01: +0,0.801,69808
Jul 05 2022 01: +0,0.796,69630
Jul 06 2022 01: +0,0.792,72192
Jul 07 2022 01: +0,0.807,67915
Jul 08 2022 01: +0,0.84,65169
Jul 09 2022 01: +0,0.852,67313
Jul 10 2022 01: +0,0.872,71755
Jul 11 2022 01: +0,0.835,64397
Jul 12 2022 01: +0,0.845,66781
Jul 13 2022 01: +0,0.838,58524
Jul 14 2022 01: +0,0.826,65092
Jul 15 2022 01: +0,0.846,62933
Jul 16 2022 01: +0,0.855,64902
Jul 17 2022 01: +0,0.84,64614
Jul 18 2022 01: +0,0.837,64761
Jul 19 2022 01: +0,0.842,66515
Jul 20 2022 01: +0,0.838,58212
Jul 21 2022 01: +0,0.836,71154
Jul 22 2022 01: +0,0.843,64823
Jul 23 2022 01: +0,0.855,66734
Jul 24 2022 01: +0,0.858,69211
Jul 25 2022 01: +0,0.856,63395
Jul 26 2022 01: +0,0.854,65046
Jul 27 2022 01: +0,0.851,64122
Jul 28 2022 01: +0,0.866,64981
Jul 29 2022 01: +0,0.871,62357
Jul 30 2022 01: +0,0.887,68018
Jul 31 2022 01: +0,0.869,66696
Aug 01 2022 01: +0,0.869,61888
Aug 02 2022 01: +0,0.849,70894
Aug 03 2022 01: +0,0.854,70414
Aug 04 2022 01: +0,0.86,66336
Aug 05 2022 01: +0,0.866,64888
Aug 06 2022 01: +0,0.868,65537
Aug 07 2022 01: +0,0.869,70114
Aug 08 2022 01: +0,0.857,65926
Aug 09 2022 01: +0,0.861,37273
Aug 10 2022 01: +0,0.841,70855
Aug 11 2022 01: +0,0.834,64259
Aug 12 2022 01: +0,0.847,63064
Aug 13 2022 01: +0,0.857,69326
Aug 14 2022 01: +0,0.835,65266
Aug 15 2022 01: +0,0.815,59831
Aug 16 2022 01: +0,0.816,66074
Aug 17 2022 01: +0,0.793,83377
Aug 18 2022 01: +0,0.794,73119
Aug 19 2022 01: +0,0.793,75308
Aug 20 2022 01: +0,0.783,71365
Aug 21 2022 01: +0,0.771,71740
Aug 22 2022 01: +0,0.768,69192
Aug 23 2022 01: +0,0.771,69869
Aug 24 2022 01: +0,0.754,68965
Aug 25 2022 01: +0,0.753,69040
Aug 26 2022 01: +0,0.755,65364
Aug 27 2022 01: +0,0.765,66959
Aug 28 2022 01: +0,0.768,71180
Aug 29 2022 01: +0,0.765,69019
Aug 30 2022 01: +0,0.768,70030
Aug 31 2022 01: +0,0.779,70082
Sep 01 2022 01: +0,0.781,65259
Sep 02 2022 01: +0,0.791,71385
Sep 03 2022 01: +0,0.799,74513
Sep 04 2022 01: +0,0.79,68738
Sep 05 2022 01: +0,0.806,63046
Sep 06 2022 01: +0,0.801,60563
Sep 07 2022 01: +0,0.786,61630
Sep 08 2022 01: +0,0.801,64851
Sep 09 2022 01: +0,0.809,67668
Sep 10 2022 01: +0,0.821,76330
Sep 11 2022 01: +0,0.826,75964
Sep 12 2022 01: +0,0.832,60480
Sep 13 2022 01: +0,0.816,58916
Sep 14 2022 01: +0,0.806,61055
Sep 15 2022 01: +0,0.799,60731
Sep 16 2022 01: +0,0.79,68508
Sep 17 2022 01: +0,0.771,71523
Sep 18 2022 01: +0,0.754,71551
Sep 19 2022 01: +0,0.743,59330
Sep 20 2022 01: +0,0.744,62475
Sep 21 2022 01: +0,0.727,60129
Sep 22 2022 01: +0,0.731,57739
Sep 23 2022 01: +0,0.725,63921
Sep 24 2022 01: +0,0.719,70002
Sep 25 2022 01: +0,0.713,69369
Sep 26 2022 01: +0,0.714,60619
Sep 27 2022 01: +0,0.724,61198
Sep 28 2022 01: +0,0.722,57954
Sep 29 2022 01: +0,0.72,62387
Sep 30 2022 01: +0,0.719,66463
Oct 01 2022 01: +0,0.729,76154
Oct 02 2022 01: +0,0.724,74382
Oct 03 2022 01: +0,0.727,61594
Oct 04 2022 01: +0,0.725,60441
Oct 05 2022 01: +0,0.717,59932
Oct 06 2022 01: +0,0.721,58637
Oct 07 2022 01: +0,0.719,63123
Oct 08 2022 01: +0,0.722,69282
Oct 09 2022 01: +0,0.722,67958
Oct 10 2022 01: +0,0.716,60546
Oct 11 2022 01: +0,0.731,59817
Oct 12 2022 01: +0,0.714,49782
Oct 13 2022 01: +0,0.692,62946
Oct 14 2022 01: +0,0.694,49235
Oct 15 2022 01: +0,0.72,87753
Oct 16 2022 01: +0,0.723,72557
Oct 17 2022 01: +0,0.727,56185
Oct 18 2022 01: +0,0.729,56960
Oct 19 2022 01: +0,0.734,59417
Oct 20 2022 01: +0,0.752,66610
Oct 21 2022 01: +0,0.736,63450
Oct 22 2022 01: +0,0.689,82033
Oct 23 2022 01: +0,0.677,72531
Oct 24 2022 01: +0,0.681,60930
Oct 25 2022 01: +0,0.683,62264
Oct 26 2022 01: +0,0.687,61069
Oct 27 2022 01: +0,0.676,60974
Oct 28 2022 01: +0,0.685,65547
Oct 29 2022 01: +0,0.687,71822
Oct 30 2022 01: +0,0.679,71448
Oct 31 2022 01: +0,0.665,61866
Nov 01 2022 01: +0,0.682,66554
Nov 02 2022 01: +0,0.685,63546
Nov 03 2022 01: +0,0.686,61779
Nov 04 2022 01: +0,0.689,67392
Nov 05 2022 01: +0,0.699,69877
Nov 06 2022 01: +0,0.689,70661
Nov 07 2022 01: +0,0.688,58246
Nov 08 2022 01: +0,0.691,56860
Nov 09 2022 01: +0,0.681,57551
Nov 10 2022 01: +0,0.689,60796
Nov 11 2022 01: +0,0.698,65350
Nov 12 2022 01: +0,0.679,71045
Nov 13 2022 01: +0,0.662,70210
